id,country_code
N_141_L_LMGN,BY
SEQ_5887__L_LMGN,BY
SEQ_5925__L_LMGN,BY
SEQ_5193__M_LMGN,BY
SEQ_6709__L_LMGN,BY
SEQ_6781__L_LMGN,PL
SEQ_4139__M_LMGN,RO
N_399_M_LMGN,RO
N_138_L_LMGN,UA
N_233_L_LMGN,UA
N_232_L_LMGN,UA
N_400_M_LMGN,UA
N_2157_S_LMGN,HR
N_2579_S_LMGN,HR
SEQ_1305__M_LMGN,HU
SEQ_1311__M_LMGN,HU
N_671_S_LMGN,PT
SEQ_3365__M_LMGN,PT
SEQ_3353__M_LMGN,PT
SEQ_2351_p,PT
SEQ_3349__M_LMGN,PT
SEQ_3341__M_LMGN,PT
N_343_M_LMGN,PT
N_1160_S_LMGN,PT
SEQ_233__L_LMGN,IT
INET_N_245,IT
SEQ_5075__S_LMGN,TR
N_702_S_LMGN,TR
SEQ_5053__S_LMGN,TR
N_36_L_LMGN,TR
SEQ_1613__L_LMGN,TR
SEQ_1609__L_LMGN,TR
SEQ_1607__L_LMGN,TR
SEQ_1605__L_LMGN,TR
SEQ_1597__L_LMGN,TR
N_559_S_LMGN,HU
SEQ_3901__S_LMGN,HU
N_2689_M_LMGN,HU
N_1615_S_LMGN,FR
N_2074_S_LMGN,FR
SEQ_12081__S_LMGN,FR
SEQ_4197__L_LMGN,FR
N_186_L_LMGN,FR
SEQ_1317__L_LMGN,FR
SEQ_1315__L_LMGN,FR
SEQ_1311__L_LMGN,FR
N_2246_S_LMGN,ES
N_2247_S_LMGN,ES
N_147_L_LMGN,FR
N_2257_S_LMGN,FR
SEQ_6599__L_LMGN,FR
SEQ_3383__L_LMGN,IT
SEQ_3395__L_LMGN,IT
SEQ_3381__L_LMGN,IT
SEQ_3377__L_LMGN,IT
N_100_L_LMGN,IT
SEQ_2436_p,IT
SEQ_2163__L_LMGN,IT
N_2138_S_LMGN,IT
N_1883_S_LMGN,IT
SEQ_2444_p,IT
N_1516_S_LMGN,IT
N_1513_S_LMGN,IT
