id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
N_271_NS_LMGN,N_271_NS_LMGN,['XX_1491'],['N_271_NS_LMGN'],53.3287,2.55424,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_279_L_LMGN,N_279_L_LMGN,['XX_5149'],['N_279_L_LMGN'],30.70829,46.55028,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_280_NS_LMGN,N_280_NS_LMGN,['XX_10115'],['N_280_NS_LMGN'],53.58162,2.045095,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_281_L_LMGN,N_281_L_LMGN,['XX_5162'],['N_281_L_LMGN'],43.9211,38.95163,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_281_NS_LMGN,N_281_NS_LMGN,['XX_1492'],['N_281_NS_LMGN'],53.55224000000001,2.287545,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_294_NS_LMGN,N_294_NS_LMGN,['XX_10126'],['N_294_NS_LMGN'],58.20418000000001,2.24502,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_297_L_LMGN,N_297_L_LMGN,['XX_5200'],['N_297_L_LMGN'],31.599390000000003,30.1439,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_297_NS_LMGN,N_297_NS_LMGN,['XX_10127'],['N_297_NS_LMGN'],57.47881999999999,2.07997,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_298_NS_LMGN,N_298_NS_LMGN,['XX_10128'],['N_298_NS_LMGN'],57.72736,1.89762,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_29_NS_LMGN,N_29_NS_LMGN,['XX_1062'],['N_29_NS_LMGN'],65.973415,7.980085000000001,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_302_NS_LMGN,N_302_NS_LMGN,['XX_10135'],['N_302_NS_LMGN'],57.69517,1.6383299999999998,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_315_NS_LMGN,N_315_NS_LMGN,['XX_10090'],['N_315_NS_LMGN'],53.57945,1.558585,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
